timestamp,total_eventos,total_colunas,previsao
2024-08-16 18:08:21,56000,20,160.4393156671881
2024-08-16 18:08:21,56500,20,161.16545344953332
2024-08-16 18:08:21,57000,20,161.89159123187852
2024-08-16 18:08:22,57500,20,162.6177290142237
2024-08-16 18:08:22,58000,20,163.34386679656893
2024-08-16 18:08:22,58500,20,164.0700045789141
2024-08-16 18:08:22,59000,20,164.7961423612593
2024-08-16 18:08:22,59500,20,165.52228014360452
2024-08-16 18:08:22,60000,20,166.2484179259497
2024-08-16 18:08:22,60500,20,166.97455570829493
2024-08-16 18:08:22,61000,20,167.7006934906401
2024-08-16 18:08:22,61500,20,168.4268312729853
2024-08-16 18:08:22,62000,20,169.15296905533052
2024-08-16 18:08:22,62500,20,169.87910683767572
2024-08-16 18:08:22,63000,20,170.60524462002093
2024-08-16 18:08:22,63500,20,171.3313824023661
2024-08-16 18:08:22,64000,20,172.05752018471134
2024-08-16 18:08:22,64500,20,172.7836579670565
2024-08-16 18:08:22,65000,20,173.50979574940172
2024-08-16 18:08:22,65500,20,174.23593353174692
2024-08-16 18:08:22,66000,20,174.96207131409213
2024-08-16 18:08:22,66500,20,175.68820909643733
2024-08-16 18:08:22,67000,20,176.4143468787825
2024-08-16 18:08:22,67500,20,177.14048466112774
2024-08-16 18:08:22,68000,20,177.86662244347292
2024-08-16 18:08:22,68500,20,178.59276022581813
2024-08-16 18:08:22,69000,20,179.31889800816333
2024-08-16 18:08:22,69500,20,180.0450357905085
2024-08-16 18:08:22,70000,20,180.77117357285374
2024-08-16 18:08:22,70500,20,181.49731135519892
2024-08-16 18:08:22,71000,20,182.22344913754412
2024-08-16 18:08:22,71500,20,182.94958691988933
2024-08-16 18:08:22,72000,20,183.67572470223453
2024-08-16 18:08:22,72500,20,184.40186248457974
2024-08-16 18:08:22,73000,20,185.12800026692491
2024-08-16 18:08:22,73500,20,185.85413804927015
2024-08-16 18:08:22,74000,20,186.58027583161532
2024-08-16 18:08:22,74500,20,187.30641361396053
2024-08-16 18:08:22,75000,20,188.03255139630573
2024-08-16 18:08:22,75500,20,188.7586891786509
2024-08-16 18:08:22,76000,20,189.48482696099614
2024-08-16 18:08:22,76500,20,190.21096474334132
2024-08-16 18:08:22,77000,20,190.93710252568653
2024-08-16 18:08:22,77500,20,191.66324030803173
2024-08-16 18:08:22,78000,20,192.38937809037694
2024-08-16 18:08:22,78500,20,193.11551587272214
2024-08-16 18:08:22,79000,20,193.84165365506732
2024-08-16 18:08:22,79500,20,194.56779143741255
2024-08-16 18:08:22,80000,20,195.29392921975773
2024-08-16 18:08:22,80500,20,196.02006700210293
2024-08-16 18:08:22,81000,20,196.74620478444814
2024-08-16 18:08:22,81500,20,197.47234256679332
2024-08-16 18:08:22,82000,20,198.19848034913855
2024-08-16 18:08:22,82500,20,198.92461813148373
2024-08-16 18:08:22,83000,20,199.65075591382893
2024-08-16 18:08:22,83500,20,200.37689369617414
2024-08-16 18:08:22,84000,20,201.10303147851934
2024-08-16 18:08:22,84500,20,201.82916926086455
2024-08-16 18:08:22,85000,20,202.55530704320972
2024-08-16 18:08:22,85500,20,203.28144482555496
2024-08-16 18:08:22,86000,20,204.00758260790013
2024-08-16 18:08:22,86500,20,204.73372039024534
2024-08-16 18:08:22,87000,20,205.45985817259054
2024-08-16 18:08:22,87500,20,206.18599595493572
2024-08-16 18:08:22,88000,20,206.91213373728095
2024-08-16 18:08:22,88500,20,207.63827151962613
2024-08-16 18:08:22,89000,20,208.36440930197136
2024-08-16 18:08:22,89500,20,209.09054708431654
2024-08-16 18:08:22,90000,20,209.81668486666172
2024-08-16 18:08:22,90500,20,210.54282264900695
2024-08-16 18:08:22,91000,20,211.26896043135213
2024-08-16 18:08:22,91500,20,211.99509821369736
2024-08-16 18:08:22,92000,20,212.72123599604254
2024-08-16 18:08:22,92500,20,213.44737377838777
2024-08-16 18:08:22,93000,20,214.17351156073295
2024-08-16 18:08:22,93500,20,214.89964934307812
2024-08-16 18:08:22,94000,20,215.62578712542336
2024-08-16 18:08:22,94500,20,216.35192490776853
2024-08-16 18:08:22,95000,20,217.07806269011377
2024-08-16 18:08:22,95500,20,217.80420047245894
2024-08-16 18:08:22,96000,20,218.53033825480412
2024-08-16 18:08:22,96500,20,219.25647603714935
2024-08-16 18:08:22,97000,20,219.98261381949453
2024-08-16 18:08:22,97500,20,220.70875160183977
2024-08-16 18:08:22,98000,20,221.43488938418494
2024-08-16 18:08:22,98500,20,222.16102716653018
2024-08-16 18:08:22,99000,20,222.88716494887535
2024-08-16 18:08:22,99500,20,223.61330273122053
2024-08-16 18:08:22,100000,20,224.33944051356576
